text,category,source,text_si
me thanata ambulanc ekak ewanna.,medical aid,synthetic,මේ තැනට අම්බුලන්ක් එකක් එවන්න.
ape family ekee siick aya innawa.,medical aid,synthetic,අපේ පවුල එකේ සියික් එයා ඉන්නවා.
me are eke rescue team ekak one.,rescue/missing,synthetic,මේ are එකේ rescue team එකක් ඕනේ.
current eka ne me are eke.,other,synthetic,current එක නෑ මේ are එකේ.
safe plake ekakata yanna help karanna.,shelter,synthetic,සෆේ ප්ලකේ එකකට යන්න හවුල් කරන්න.
apt kanna bonna dewal ne.,food/water,synthetic,අපිට කන්න බොන්න දේවල් නෑ.
communication ceenter ekak thiyenawada?,other,synthetic,communication ceenter එකක් තියෙනවද?
ape gedaraa damage wela.,shelter,synthetic,අපේ ගෙදර damage වෙලා.
candles tikak on.,other,synthetic,candles ටිකක් ඕන.
ape gedara water ne.,food/water,original,අපේ ගෙදර වතුර නෑ.
clean water awailable da?,food/water,synthetic,clean water awailable ද?
medical officeer kenek on.,medical aid,synthetic,medical officeer කෙනෙක් ඕන.
aape nangi thama awe na.,rescue/missing,synthetic,ආපු නංගි තාම ආවේ නැ.
missing kenek gena information thiyenawada?,rescue/missing,original,missing කෙනෙක් ගැන information තියෙනවද?
ape putha thuwala wela.,medical aid,original,අපේ පුතා තුවාල වෙලා.
ape taththa missing.,rescue/missing,synthetic,අපේ තාත්තා missing.
ape gedara patient kenek innava.,medical aid,synthetic,අපේ ගෙදර patient කෙනෙක් ඉන්නවා.
driinking water natiwa inne.,food/water,synthetic,දිරිනිකින්ගෙ වතුර නැතිව ඉන්නේ.
baby food one urgent.,food/water,synthetic,baby food one urgent.
baby clothes on.,other,synthetic,baby clothes on.
missing chld kenek hoyanawa.,rescue/missing,synthetic,මිස්සින්ගෙ චාලිඩ් කෙනෙක් හොයනවා.
floded area eke stuck wela.,rescue/missing,synthetic,floded area එකේ stuck වෙලා.
drinking wateer hoyaganna ba.,food/water,synthetic,Drinking වතේර් හොයාගන්න බැ.
medhical team ekak ewanna puuluwanda?,medical aid,synthetic,medhical team එකක් එවන්න පුලුවන්ද?
mgee gedara knek unconscious wela.,medical aid,synthetic,මගේ ගෙදර කෙනෙක් unconscious වෙලා.
please seend rscue team.,rescue/missing,synthetic,please seend rscue team.
flashlighth eekak one.,other,synthetic,flashlight ඒකක ඕනේ.
kenek watuurat gahagen gihin.,rescue/missing,synthetic,කෙනෙක් උඹවරට ගහගෙන ගිහින්.
rain eka nisa shlter one.,shelter,synthetic,රයන් එක නිසා ෂිල්ටර් ඕනේ.
ape family eka homeless wela.,shelter,original,අපේ පවුල එක homeless වෙලා.
drinking water urgently oone.,food/water,synthetic,drinking water urgently ඕනේ.
ape putha tuwala wela.,medical aid,synthetic,අපේ පුතා තුවාල වෙලා.
baaby t medicine one.,medical aid,synthetic,බායි ටි medicine ඕනේ.
gas cylinder eka na.,other,original,ගස් cylinder එක නෑ.
ape thththa missing.,rescue/missing,synthetic,අපේ තාත්තා missing.
apith arakshitha thankt yanna one.,shelter,synthetic,අපිත් ආරක්ෂිත තැනකට යන්න ඕනේ.
apii building roof eke inne.,rescue/missing,synthetic,අපේ building roof එකේ ඉන්නේ.
plase rescue karann.,rescue/missing,synthetic,පලාසේ rescue කරන්න.
apit viyli ahara ewnn .,food/water,synthetic,අපිට වියලි ආහාර එවන්න.
sick patient kenek resce karanna on.,medical aid,synthetic,sick patient කෙනෙක් resce කරන්න ඕන.
candles tkak one.,other,synthetic,candles ටිකක් ඕනේ.
thuwal un aya innawa.,medical aid,synthetic,තුවාල උන් එයා ඉන්නවා.
doctor kenek contact karanna oone.,medical aid,synthetic,ඩොක්ටර් කෙනෙක් contact කරන්න ඕනේ.
kaama ookm tika iwara weela.,food/water,synthetic,කෑම ඕකම ටික ඉවර වෙලා.
please me thanaata help ekak denna.,other,synthetic,please me thanaata help එකක් දෙන්න.
rice saha water one.,food/water,original,රිසි සහ වතුර ඕනේ.
medical help urgently one.,medical aid,original,medical help urgently one.
sanitary items on.,other,synthetic,සින්තරය items on.
ape nangii hyaganna ba.,rescue/missing,synthetic,අපේ නංගි හොයාගන්න බැ.
mdical officer cenek one.,medical aid,synthetic,mdical officer cenek one.
food on plese.,food/water,synthetic,food on plese.
chld kenek missing.,rescue/missing,synthetic,චිල්ඩ් කෙනෙක් මයිසින්ග්.
patient knek sthuck wela.,medical aid,synthetic,patient කෙනෙක් සතුටක් වෙලා.
child cenek missing.,rescue/missing,synthetic,child cenek missing.
kenek waturat gahagen ghin.,rescue/missing,synthetic,කෙනෙක් වතුරට ගහගෙන ගිහින්.
phone battery low.,other,synthetic,phone battery low.
gedara athule wayasak kenek innawa.,rescue/missing,synthetic,ගෙදර ඇතුලේ වයසක කෙනෙක් ඉන්නවා.
child kenek missing.,rescue/missing,original,child කෙනෙක් missing.
"old people innawa, sfe place one.",shelter,synthetic,"old people ඉන්නවා, sfe place one."
me pattha dangerous daa?,other,synthetic,මේ පැත්ත dangerous ද?
thuwala walata bandge one.,medical aid,synthetic,තුවාල වලට බැඳගේ ඕනේ.
transport heelp one.,other,synthetic,transport help one.
rice tikak hari ewanna.,food/water,original,රිස් ටිකක් හරි එවන්න.
"ape gedarata watura gihin, ikmnt apiiwa beragnn enn .",shelter,synthetic,"අපේ ගෙදරට වතුර ගිහින්, ඉක්මනට අපීව බේරගන්න එන්න."
doctor kenk me paththaata one.,medical aid,synthetic,ඩොක්ටර් කෙනෙක් මේ පැත්තට ඕනේ.
kenek waturat gahagen gihin.,rescue/missing,original,කෙනෙක් වතුරට ගහගෙන ගිහින්.
ape area ece inn arakshitha thanak ne.,shelter,synthetic,අපේ area ece ඉන්න ආරක්ෂිත තැනක් නෑ.
rescue boat ekk on.,rescue/missing,synthetic,rescue bot එක්ක ඕන.
injured kenek innawa me gedara.,medical aid,original,ඉන්ජුරේඩ් කෙනෙක් ඉන්නවා මේ ගෙදර.
ikmnata ambulance ekak onee.,medical aid,synthetic,ඉක්මනට එම්බුලන්ස් එකක් ඕනේ.
please send rescuee theam.,rescue/missing,synthetic,please send rescuee tham.
ape fmily eka homeless wela.,shelter,synthetic,අපේ ෆිම්ලයි එක homeless වෙලා.
safe building ecak one immediately.,shelter,synthetic,safe building ecak one immediately.
mge gedhara kenek unkonscious wela.,medical aid,synthetic,මගේ ගෙදර කෙනෙක් unconscious වෙලා.
phone battery lw.,other,synthetic,Phone battery ලව්.
beheth gnna pharmacy ekata yanna ba.,medical aid,synthetic,බෙහෙත් ගන්න pharmacy එකට යන්න බැ.
food one please.,food/water,synthetic,food one please.
knna foodh tikak hoyala denna.,food/water,synthetic,කන්න ෆෝඩ් ටිකක් හොයලා දෙන්න.
"rike, dhal saha waater one.",food/water,synthetic,"රිකී, දළ සහ වතුර ඕනේ."
roadh eka clear karanna help one.,other,synthetic,රෝඩ් එක clear කරන්න help one.
shelter ekak denna puluwanda?,shelter,original,ෂෙල්ටර් එකක් දෙන්න පුලුවන්ද?
safe place ekak hoyala denna.,shelter,synthetic,safe place එකක් හොයලා දෙන්න.
bonna watra naa.,food/water,synthetic,බොන්න වතුර නෑ.
apee gedaraa water ne.,food/water,synthetic,අපේ ගෙදර වතුර නෑ.
rain eka nisa shelter one.,shelter,original,රයන් එක නිසා ෂෙල්ටර් ඕනේ.
genral supplies tikak one.,other,synthetic,ජෙනරල් ප්ලෝවේස් ටිකක් ඕනේ.
ape amma hoy gnn ba.,rescue/missing,synthetic,අපේ අම්ම හොය ගන්න බැ.
flood eka nisa trapped wela.,rescue/missing,synthetic,ෆ්ලෝඩ් එක නිසා trapped වෙලා.
drinking wter hoyaganna b.,food/water,synthetic,drinking වතුර හොයාගන්න බැ.
road eka clear karanna help one.,other,original,road එක clear කරන්න help one.
please me thanata help ekak denna.,other,original,please මේ තැනට හවුල් එකක් දෙන්න.
medical suupport ekk one please.,medical aid,synthetic,medical suupport එක්ක one please.
rooad eka block wela.,other,synthetic,රෝඩ් එක බ්ලූක් වෙලා.
ambulance ekaak ewanna pleasee.,medical aid,synthetic,ඔම්බුලන්ස් එකක් එවන්න පොලෝවේ.
me area eke rescue team ekak on.,rescue/missing,synthetic,මේ area එකේ rescue team එකක් ඕන.
"old people innawa, safe place one.",shelter,original,"old people ඉන්නවා, safe place one."
"api 6 denek inne, kama one.",food/water,synthetic,"අපි 6 දෙනෙක් ඉන්නේ, කෑම ඕනේ."
medical team ecak ewann puluwanda?,medical aid,synthetic,medical team ecak ෙවන්න පුලුවන්ද?
water bottle ekak wath ne.,food/water,original,water bottle එකක් වත් නෑ.
beheth ganna pharmacy ekata yanna baa.,medical aid,synthetic,බෙහෙත් ගන්න pharmacy එකට යන්න බෑ.
rescue boat ekak one.,rescue/missing,original,rescue බෝට් එකක් ඕනේ.
blod one urgnt please.,medical aid,synthetic,blood one urgnt please.
cooking kranna ba.,other,synthetic,cooking කරන්න බැ.
"rice, dhal saha water one.",food/water,synthetic,"රිසි, දළ සහ water ඕනේ."
injured kenek innawa me gedar.,medical aid,synthetic,ඉන්ජුරේඩ් කෙනෙක් ඉන්නවා මේ ගෙදර.
m area eke rescue team ekak one.,rescue/missing,synthetic,ම area එකේ rescue team එකක් ඕනේ.
missing knek gena informatin thiyenawada?,rescue/missing,synthetic,missing කෙනෙක් ගැන informatin තියෙනවද?
gedara roof eka damage wela.,shelter,synthetic,ගෙදර රෝෆ් එක damage වෙලා.
ape family eke kenekta medical help one.,medical aid,original,අපේ පවුලේ එකේ කෙනෙක්ට medical help one.
reskue team eka me pathth enawada?,rescue/missing,synthetic,රැස්කී ටේම් එක මේ පැත්ත එනවද?
cama ookm tika iwara wela.,food/water,synthetic,කෑම ඕකම් ටික ඉවර වෙලා.
current eka ne me aarea eke.,other,synthetic,current එක නෑ මේ ආරේ එකේ.
kenek watura gihin missing.,rescue/missing,original,කෙනෙක් වතුර ගිහින් මස්සින්ගෙ.
foood relief centher eka koheda?,food/water,synthetic,ෆූඩොඩ් රේලිෆේෆ් සෙන්තර් එක කොහෙද?
current eca ikmanata denna.,other,synthetic,current ඒකා ඉක්මනට දෙන්න.
beheth iwara wel.,medical aid,synthetic,බෙහෙත් ඉවර වෙලා.
arakshitha kandaurat ynna transpoort one.,shelter,synthetic,ආරක්ෂිත කඳුරට යන්න transpoort ඕනේ.
me area ekata yannaa puluwanda?,other,synthetic,මේ area එකට යන්න පුලුවන්ද?
buuilding eka inspecth karanna one.,other,synthetic,buuilding එක inspecth කරන්න ඕනේ.
phone battery lov.,other,synthetic,phone battery lov.
rod clearance help one.,other,synthetic,රෝඩ් clearance help one.
ape amma hoy gnn ba.,rescue/missing,synthetic,අපේ අම්ම හොය ගන්න බැ.
clean wter one please.,food/water,synthetic,clean wter one please.
baby food one urgent.,food/water,original,baby food one urgent.
apee area ekata dry rations oone.,food/water,synthetic,අපේ area එකට dry rations ඕනේ.
information ekak hoyaganna one.,other,original,information එකක් හොයාගන්න ඕනේ.
shelther ekta family eka aran yanna.,shelter,synthetic,shelther එකට family එක අරන් යන්න.
flooded area eke stuck wela.,rescue/missing,original,flooded area එකේ stuck වෙලා.
family 6 denekta shelter one.,shelter,synthetic,family 6 දෙනෙකුට shelter ඕනේ.
ape famly mmbers trapped wela.,rescue/missing,synthetic,අපේ ෆොම්ලයි mmbers trapped වෙලා.
baby milk saha food one.,food/water,original,baby milk සහ food one.
elderly kenektha help one.,medical aid,synthetic,elderly කෙනෙක්ට help ඕනේ.
famly membersla dennek missing.,rescue/missing,synthetic,famly membersla දෙන්නෙක් missing.
blood one urgent please.,medical aid,synthetic,blood one urgent please.
mge gedara kenek unconscious wela.,medical aid,original,මගේ ගෙදර කෙනෙක් unconscious වෙලා.
tree tika ain karanna one.,other,original,ට්රේ ටික අයින් කරන්න ඕනේ.
safe building eekak on immediately.,shelter,synthetic,safe building ඒකක on immediately.
ap gedara damage wela.,shelter,synthetic,අපි ගෙදර damage වෙලා.
transport help one.,other,original,transport help one.
ap gedaara food na.,food/water,synthetic,අපි ගෙදර ෆෝඩ් නැ.
elderly person kenek missing.,rescue/missing,original,elderly person කෙනෙක් missing.
electricity supply eka nati weela.,other,synthetic,electricity supply එක නැති වේලා.
doctor keenek me paththata one.,medical aid,synthetic,ඩොක්ටර් චීනෙක් මේ පැත්තට ඕනේ.
me area ekata ynna puluwanda?,other,synthetic,මේ area එකට යන්න පුලුවන්ද?
missing child cenek hoyanawa.,rescue/missing,synthetic,missing child cenek හොයනවා.
wessa nisa gdara innatha ba.,shelter,synthetic,වැස්ස නිසා ගෙදර ඉන්නත බැ.
family ekataa safe plaace one.,shelter,synthetic,family එකට safe plaace one.
child kenek hoyaganna one.,rescue/missing,original,child කෙනෙක් හොයාගන්න ඕනේ.
drinking water supply karanna.,food/water,original,drinking water supply කරන්න.
shelter ecak open karalda?,shelter,synthetic,ෂෙල්ටර් ecak open කරලද?
hospital transpoort one.,medical aid,synthetic,hospital transpoort one.
kids la hungry inne.,food/water,original,kids la hungry ඉන්නේ.
me thanata ambulance ekak ewanna.,medical aid,original,මේ තැනට එම්බුලන්ස් එකක් එවන්න.
"laamai innawa, safe place one.",shelter,synthetic,"ලාමී ඉන්නවා, safe place one."
floood eka nisa trapped wela.,rescue/missing,synthetic,ෆ්ලෝඩ් එක නිසා trapped වෙලා.
ptient kenekta immediate hlp one.,medical aid,synthetic,පැත්තෙන් කෙනෙක්ට immediate හල්ප ඕනේ.
"rice, dhal saha water one.",food/water,original,"රිසි, දළ සහ water ඕනේ."
safe buildhing ekak hoyanna onee.,shelter,synthetic,සෆේ බිල්ලීන්ගෙ එකක් හොයන්න ඕනේ.
rescue help denna puluwanda?,rescue/missing,synthetic,rescue help දෙන්න පුලුවන්ද?
shelter support onee.,shelter,synthetic,shelter support ඕනේ.
sick patient kenek rescue karanna one.,medical aid,original,sick patient කෙනෙක් rescue කරන්න ඕනේ.
faamily mmbersla dennek missing.,rescue/missing,synthetic,ෆාමිලයි මම්බර්ස්ලා දෙන්නෙක් මස්සින්ගෙ.
paatient cenek stuck wela.,medical aid,synthetic,පාටීන්ට සෙනෙක් ස්ටූක්ක් වෙලා.
bheth iwar wela.,medical aid,synthetic,බෙහෙත් ඉවර වෙලා.
api dan safe place ekak hoyanava.,shelter,synthetic,අපි දැන් safe place එකක් හොයනවා.
blankets tiikak one.,other,synthetic,blankets ටිකක් ඕනේ.
ape gedara unsfe welaa.,shelter,synthetic,අපේ ගෙදර උණුෆේ වෙලා.
me area ek situation eka kohomada?,other,synthetic,මේ area එක situation එක කොහොමද?
ape gedara unsaf welaa.,shelter,synthetic,අපේ ගෙදර උන්සෆ් වෙලා.
api food nathiwa inne.,food/water,original,අපි ෆෝඩ් නැතිව ඉන්නේ.
ape gedara damage wel.,shelter,synthetic,අපේ ගෙදර damage වෙලා.
patient kenekta immediate help one.,medical aid,original,patient කෙනෙක්ට immediate help one.
wessa nsa gedaara innata ba.,shelter,synthetic,වැස්ස නිසා ගෙදර ඉන්නට බැ.
"ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter,original,"අපේ ගෙදරට වතුර ගිහින්, ඉක්මනට අපිව බේරගන්න එන්න."
cuurrent eka ne me area eke.,other,synthetic,cuurrent එක නෑ මේ area එකේ.
rescue tam eca me paththe enawada?,rescue/missing,synthetic,rescue තාම ඒක මේ පැත්තේ එනවද?
current eka tiyenne ne.,other,synthetic,current එක තියෙන්නෙ නෑ.
road eka break wela.,other,original,රෝඩ් එක break වෙලා.
medicine saha doctor heelp one.,medical aid,synthetic,medicine සහ doctor ගේලපු ඕනේ.
transport ekak one.,other,synthetic,transport එකක් ඕනේ.
famiily membersla dennek missing.,rescue/missing,synthetic,ෆැමීලියො membersලා දෙන්නෙක් මස්සින්ගෙ.
ape gedara ptient kenek innawa.,medical aid,synthetic,අපේ ගෙදර පැත්තෙන් කෙනෙක් ඉන්නවා.
current eka ikmanata dnna.,other,synthetic,current එක ඉක්මනට දෙන්න.
arakshitha kandaurat ynna thransport one.,shelter,synthetic,ආරක්ෂිත කඳුරට යන්න thransport ඕනේ.
mee ara eke safe shelter thiyenawada?,shelter,synthetic,මේ අර එකේ safe shelter තියෙනවද?
"aapi stuck wela, help karanna.",rescue/missing,synthetic,"ආපි ස්ටූක්ක්ක් වෙලා, හවුල් කරන්න."
rescue team eca me paththe enawadha?,rescue/missing,synthetic,rescue team eca මේ පැත්තේ එනවද?
bathtery charge karaganna ba.,other,synthetic,bathtery charge කරගන්න බැ.
watura bottle thikak one.,food/water,synthetic,වතුර බෝට්ටලේ ටිකක් ඕනේ.
urgeently safe place ekk one.,shelter,synthetic,urgeently safe place එක්ක ඕනේ.
food relif ekak one.,food/water,synthetic,ෆෝඩ් රේලිෆ් එකක් ඕනේ.
wessa nisa gdara innata ba.,shelter,synthetic,වැස්ස නිසා ගෙදර ඉන්නට බැ.
ape brother missing wla.,rescue/missing,synthetic,අපේ brother missing වල.
drinking water hoyaganna baa.,food/water,synthetic,drinking water හොයාගන්න බෑ.
roadh eka block weela.,other,synthetic,රෝඩ් එක බ්ලූක් වේලා.
tuwal una ay innawa.,medical aid,synthetic,තුවාල උන අය ඉන්නවා.
flood ek nsa trapped wela.,rescue/missing,synthetic,ෆ්ලෝඩ් එක නිසා trapped වෙලා.
rooad clearance help onee.,other,synthetic,රෝද කුලිරන්සේ හවුල් ඕනේ.
rescue team ekk ewannaa please.,rescue/missing,synthetic,rescue team එක්ක එවන්නා please.
baaby cenek sick wela innwa .,medical aid,synthetic,බාබායි සීනේක් සිකුක් වෙලා ඉන්නවා.
ape phne charge karanna ba.,other,synthetic,අපේ පුහුණේ charge කරන්න බැ.
shelter ekatha family eka aran yanna.,shelter,synthetic,ෂෙල්ටර් එකට පවුලෙ එක අරන් යන්න.
santary items one.,other,synthetic,සන්තාරය items one.
medical support ekk on please.,medical aid,synthetic,medical support එක්ක on please.
"patient kenek innawa, medical help one.",medical aid,original,"patient කෙනෙක් ඉන්නවා, medical help one."
"api stuck wela, help karanna.",rescue/missing,original,"අපි ස්ටූක්ක්ක් වෙලා, හවුල් කරන්න."
rscue boat ekak one.,rescue/missing,synthetic,rscue බෝට් එකක් ඕනේ.
gedara athule aaya innawa.,rescue/missing,synthetic,ගෙදර ඇතුලේ ඇය ඉන්නවා.
ape putha hoyaganna one.,rescue/missing,original,අපේ පුතා හොයාගන්න ඕනේ.
blankets tkak one.,other,synthetic,blankets ටිකක් ඕනේ.
mdicine nathi nisa amarui.,medical aid,synthetic,මදිකිනේ නැති නිසා අමාරුයි.
sheltr ekta family eka aran yanna.,shelter,synthetic,ෂෙල්ටර් එකට පවුලෙ එක අරන් යන්න.
medical team ekk one me area ekatha.,medical aid,synthetic,medical team එක්ක ඕනේ මේ area එකට.
traansport ekak one.,other,synthetic,traansport එකක් ඕනේ.
apit dawas dkak knna na.,food/water,synthetic,අපිට දවස් දෙකක් කන්න නැ.
patient kenek stck wela.,medical aid,synthetic,patient කෙනෙක් සතික්කු වෙලා.
"ap stuck welaa, help karanna.",rescue/missing,synthetic,"අපි ස්ටූක්ක්ක් වෙලා, හවුල් කරන්න."
kenk missiing wela.,rescue/missing,synthetic,කෙනෙක් මිස්සීං වෙලා.
current eka tiyenne ne.,other,synthetic,current එක තියෙන්නෙ නෑ.
crrent eka tiyenne ne.,other,synthetic,crrent එක තියෙන්නෙ නෑ.
api evacuate karanna one.,rescue/missing,original,අපි evacuate කරන්න ඕනේ.
raiin eka nisaa shelter one.,shelter,synthetic,රයින් එක නිසා shelter ඕනේ.
tree tika ain caranna one.,other,synthetic,ට්රේ ටික අයින් කරන්න ඕනේ.
api dan safe place ekak hoyanava.,shelter,synthetic,අපි දැන් safe place එකක් හොයනවා.
road ek open da?,other,synthetic,රෝඩ් එක open ද?
lamayek hoyaganna help ekk one.,rescue/missing,original,ලමයෙක් හොයාගන්න හයිල් එකක් ඕනේ.
bilding eka inspct karanna one.,other,synthetic,බිල්ඩින්ග් එක inspct කරන්න ඕනේ.
api building roof eke inne.,rescue/missing,synthetic,අපි building roof එකේ ඉන්නේ.
api roof ece inne.,rescue/missing,synthetic,අපි රෝෆ් එකේ ඉන්නේ.
thuwala una kenek innawa.,medical aid,original,තුවාල උණ කෙනෙක් ඉන්නවා.
wathura supply eka nawathila.,food/water,synthetic,වතුර පොරොන්දු එක නැවතිලා.
missing person kenek hoyanawa.,rescue/missing,synthetic,missing person කෙනෙක් හොයනවා.
gdara athule wayasaka kenek innwa.,rescue/missing,synthetic,ගෙදර ඇතුලේ වයසක කෙනෙක් ඉන්නවා.
ape gedara patient kenek innava.,medical aid,synthetic,අපේ ගෙදර patient කෙනෙක් ඉන්නවා.
apiit dawas dekak kanna na.,food/water,synthetic,අපිත් දවස් දෙකක් කන්න නැ.
dhrinking water supply karanna.,food/water,synthetic,දිරිනිකින්ගෙ water supply කරන්න.
childh kenek missing.,rescue/missing,synthetic,childh කෙනෙක් missing.
emergency mediical help deenna.,medical aid,synthetic,emergency mediical help දෙන්න.
phone network eka kawada enawda?,other,synthetic,phone network එක කවදා එනවද?
evacuation center ekat yanna onee.,shelter,synthetic,evacuation center එකට යන්න ඕනේ.
cooking karanna ba.,other,original,cooking කරන්න බැ.
phone network eka kawada enawada?,other,original,Phone network එක කවදා එනවද?
meedicine saha doctor help one.,medical aid,synthetic,මේඩීකිනේ සහ ඩොක්ටර් help one.
fmily ekata temporary plac one.,shelter,synthetic,ෆිම්ලියො ඒකට temporary plac one.
rescu team ekak ewanna pleas.,rescue/missing,synthetic,rescu team එකක් එවන්න පොලීස්.
safe accommodaation one please.,shelter,synthetic,safe accommodaation one please.
mee paththa dhangerous da?,other,synthetic,මේ පැත්ත dangerous ද?
ape family ek kenekta medical help one.,medical aid,synthetic,අපේ පවුල එක කෙනෙක්ට medical help one.
urgntly safe place ekk one.,shelter,synthetic,urgntly safe place එක්ක ඕනේ.
aape ammata asthma medicine one.,medical aid,synthetic,ආපේ අම්මට අස්ථම medicine ඕනේ.
"ap 6 denek inne, kama one.",food/water,synthetic,"අපි 6 දෙනෙක් ඉන්නේ, කෑම ඕනේ."
gedara athule wayasaka keneek innawa.,rescue/missing,synthetic,ගෙදර ඇතුලේ වයසක කෙනෙකු ඉන්නවා.
water bottle eekak wath ne.,food/water,synthetic,water bottle ඒකක වත් නෑ.
shlter ekak open karaladha?,shelter,synthetic,ෂෙල්ටර් එකක් open කරලද?
bonna wathura na.,food/water,synthetic,බොන්න වතුර නෑ.
gedara athule aya beragnn udau krnna .,rescue/missing,original,ගෙදර ඇතුලේ අය බේරගන්න උදවු කරන්න.
tree ekak road eka uda watila.,other,original,ටොරේ එකක් රෝඩ් එක උඩ වැටිලා.
eelderly person kenek missiing.,rescue/missing,synthetic,eelderly person කෙනෙක් මිස්සීන්ගෙ.
ape house eka collapse wnna wage.,shelter,synthetic,අපේ ගෙදර එක කොල්ලපස්සේ වෙන්න වගේ.
ric sha water one.,food/water,synthetic,රික් ෂා වතුර ඕනේ.
tree ekaak roaad eka uda watila.,other,synthetic,තිරේ එකක් රෝද එක උඩ වැටිලා.
ape house eka collapse wenna wage.,shelter,synthetic,අපේ ගෙදර එක කොල්ලපස්සේ වෙන්න වගේ.
injuredh kenek innwa me gedara.,medical aid,synthetic,ඉන්ජුරේද් කෙනෙක් ඉන්නවා මේ ගෙදර.
ptrol hoyaganna ba.,other,synthetic,පොරොන්දු හොයාගන්න බැ.
me area eke situation eka kohomada?,other,synthetic,මේ area එකේ situation එක කොහොමද?
watura ganna widihak nee.,food/water,synthetic,වතුර ගන්න විදිහක් නේ.
ape faamily ekee sick aya innawa.,medical aid,synthetic,අපේ ෆාමිලයි එකේ සිකුක් එයා ඉන්නවා.
blood on urgnt please.,medical aid,synthetic,blood on urgnt please.
wessa nisa gedaraa innata ba.,shelter,synthetic,වැස්ස නිසා ගෙදර ඉන්නට බැ.
food supplies tikak one.,food/water,original,food supplies ටිකක් ඕනේ.
house eka clean karannaa help one.,other,synthetic,house එක clean කරන්න help one.
me area eke rescue team ekak one.,rescue/missing,original,මේ area එකේ rescue team එකක් ඕනේ.
safe place eekakata yanna help karanna.,shelter,synthetic,safe place ඒකට යන්න help කරන්න.
api dan shelter ekak hoyanawa.,shelter,synthetic,අපි දැන් ෂෙල්ටර් එකක් හොයනවා.
dhrinking water supply karanna.,food/water,synthetic,දිරිනිකින්ගෙ water supply කරන්න.
lamayata fever thiyeenawa.,medical aid,synthetic,ලමයාට ෆේවර් තියෙනවා.
water pump eka wadha ne.,other,synthetic,water pump එක වද නෑ.
ape area ekt viyali ahara ewnn plwnd .,food/water,original,අපේ area එකට වියලි ආහාර එවන්න පුලුවන්ද.
me paththa dangerous da?,other,original,මේ පැත්ත dangerous ද?
"old people innawa, safe plake one.",shelter,synthetic,"old people ඉන්නවා, safe plake one."
ape geedara fod na.,food/water,synthetic,අපේ ගෙදර ෆෝඩ් නැ.
waturaa ganna widihak ne.,food/water,synthetic,වතුර ගන්න විදිහක් නෑ.
ape family ekata innaa place ekak one.,shelter,synthetic,අපේ පවුල ඒකට ඉන්නා place එකක් ඕනේ.
trnsport ecak one.,other,synthetic,trnsport ecak one.
"rice, dhl saha water on.",food/water,synthetic,"රිසි, දළ සහ water on."
watura sha knna tikak one.,food/water,synthetic,වතුර සහ කන්න ටිකක් ඕනේ.
gedaara watura purila.,shelter,synthetic,ගෙදර වතුර පිරිලා.
gedara watura purila.,shelter,synthetic,ගෙදර වතුර පිරිලා.
clean wateer one please.,food/water,synthetic,clean wateer one please.
medical team ekak ewanna puluwanda?,medical aid,original,medical team එකක් එවන්න පුලුවන්ද?
floodhed area eke stuck wela.,rescue/missing,synthetic,ෆ්ලෝඩ්ඩ් එකේ ස්ටූක්ක්ක් වෙලා.
ape seeya missing.,rescue/missing,synthetic,අපේ සීයා මිසිටින්ග්.
food ekak aran enna puluwanda?,food/water,original,ෆෝඩ් එකක් අරන් එන්න පුලුවන්ද?
safe place ekak hoyala dennaa.,shelter,synthetic,safe place එකක් හොයලා දෙන්නා.
sanitary items one.,other,original,සින්තරය items one.
watura bottl tiikak one.,food/water,synthetic,වතුර බෝට්ටල ටිකක් ඕනේ.
family mmbersla dnnek missing.,rescue/missing,synthetic,family mmbersla දෙන්නෙක් missing.
tree ekak road ekaa udha watila.,other,synthetic,ටොරේ එකක් රෝඩ් එකා උදා වැටිලා.
battery charge karaganna ba.,other,original,battery charge කරගන්න බැ.
fel station open daa?,other,synthetic,ෆේල් ස්ටෝන්ස් ඔප්පු දා?
ape gedara unsafe wela.,shelter,synthetic,අපේ ගෙදර අපොෆේ වෙලා.
shelter ekak thiyenawanam kiyaanna.,shelter,synthetic,ෂෙල්ටර් එකක් තියෙනවනම් කියන්න.
pleasee me thanat help ekak denna.,other,synthetic,පොලී මේ තැනට හවුල් එකක් දෙන්න.
shelter ekak denna puluwaanda?,shelter,synthetic,ෂෙල්ටර් එකක් දෙන්න පුලුවන්ද?
ape amma hoy gnn ba.,rescue/missing,synthetic,අපේ අම්ම හොය ගන්න බැ.
ape nangi ta medicine one.,medical aid,original,අපේ නංගි ට medicine ඕනේ.
hospital trnsport one.,medical aid,synthetic,hospital trnsport ඕනේ.
ape area eke inn arakshith thanaak ne.,shelter,synthetic,අපේ area එකේ ඉන්න ආරක්ෂිත තැනක් නෑ.
gas cylinder eka n.,other,synthetic,ගස් cylinder එක නෑ.
night eka innat place ne.,shelter,synthetic,නයිට් එක ඉන්නට place නෑ.
wather supply eka ne.,food/water,synthetic,වතුර පොරොන්දු ඒක නෑ.
mge amma ta amarui .ambulance ekk ewnn please.,medical aid,original,මගේ අම්ම ට අමාරුයි.ambulance එක්ක එවන්න please.
patient kenekt immediate help one.,medical aid,synthetic,patient කෙනෙක්ට immediate help one.
