text,category,source
canna deyak ne mee gedara.,food/water,synthetic
medcal help urgently onee.,medical aid,synthetic
medical help urgenthly one.,medical aid,synthetic
medical help urgenthly one.,medical aid,synthetic
meedical help urgntly one.,medical aid,synthetic
watura sha knna tikak one.,food/water,synthetic
watura sha knna thikak one.,food/water,synthetic
watura sahaa knna tikak one.,food/water,synthetic
watura saha knnaa tikak one.,food/water,synthetic
beheth iiwara wela.,medical aid,synthetic
beheth iwara wel.,medical aid,synthetic
beheth ivara weela.,medical aid,synthetic
bheth iwar wela.,medical aid,synthetic
kanna food tikaak hoyala denna.,food/water,synthetic
kanna food tikak hoyala dnna.,food/water,synthetic
kanna foood tiikak hoyala denna.,food/water,synthetic
knna foodh tikak hoyala denna.,food/water,synthetic
meedicine saha doctor help one.,medical aid,synthetic
medicine saha doctor heelp one.,medical aid,synthetic
medcine saha docthor help one.,medical aid,synthetic
medhicine saha doctor help one.,medical aid,synthetic
"api 6 denek inne, kama one.",food/water,synthetic
"ap 6 denek inne, kama one.",food/water,synthetic
"aapi 6 denek inne, kama one.",food/water,synthetic
"aapi 6 denek inne, kama onee.",food/water,synthetic
cenek missing wela.,rescue/missing,synthetic
kenk missiing wela.,rescue/missing,synthetic
kenek missing wela.,rescue/missing,synthetic
keenek missing wela.,rescue/missing,synthetic
safe placee ekaak one please api yata wel.,shelter,synthetic
safe place ekak one plase api yatha wel.,shelter,synthetic
safe plaace ekak on please api yata wel.,shelter,synthetic
safe place ekak one please api yaata wel.,shelter,synthetic
doctor keenek contact karnna one.,medical aid,synthetic
doctor kenek contact karanna oone.,medical aid,synthetic
docthor kenek contact karann one.,medical aid,synthetic
docthor cenek contact karanna one.,medical aid,synthetic
eldherly person kenek missing.,rescue/missing,synthetic
eldrly person knek missing.,rescue/missing,synthetic
eldherly person kenek missing.,rescue/missing,synthetic
eelderly person kenek missiing.,rescue/missing,synthetic
ape area ekt viyali ahara ewnn plwnd .,food/water,synthetic
ape area ekt viyali ahara ewnn plwnd .,food/water,synthetic
ape area ekt viiyali ahara ewnn plwnd .,food/water,synthetic
ape area ekt viyali ahra ewnn plwnd .,food/water,synthetic
safe buildhing ekak hoyanna onee.,shelter,synthetic
safe buildiing ekak hoyanna one.,shelter,synthetic
safe building ecak hoyann one.,shelter,synthetic
safe building ecak hoyanna one.,shelter,synthetic
bonna wtura naa.,food/water,synthetic
bonna watra naa.,food/water,synthetic
bonna wtura na.,food/water,synthetic
bonna wathura na.,food/water,synthetic
kenek watura gihn missing.,rescue/missing,synthetic
cenek watura gihin missing.,rescue/missing,synthetic
kenek watura gihin missing.,rescue/missing,synthetic
kenek watura gihin missng.,rescue/missing,synthetic
food relif ekak one.,food/water,synthetic
food relief ekak on.,food/water,synthetic
food relief ekak one.,food/water,synthetic
food relief eekak on.,food/water,synthetic
family ekata teemporary plaace one.,shelter,synthetic
family ekata themporary place on.,shelter,synthetic
fmily ekata temporary plac one.,shelter,synthetic
family ekataa teemporary place one.,shelter,synthetic
road conditon eka dannawada?,other,synthetic
roadh condithion eka dannawada?,other,synthetic
roadh condition eka dannwada?,other,synthetic
road condition ek dannawada?,other,synthetic
ape ammta asthma medicine one.,medical aid,synthetic
ape ammata asthm medicine one.,medical aid,synthetic
ape ammata asthmaa medicine one.,medical aid,synthetic
aape ammata asthma medicine one.,medical aid,synthetic
chiild kenek mssing.,rescue/missing,synthetic
chld kenek missing.,rescue/missing,synthetic
childh kenek missing.,rescue/missing,synthetic
child cenek missing.,rescue/missing,synthetic
shelter ekakaata yanna help one.,shelter,synthetic
shelter eekakata yanna help one.,shelter,synthetic
shelther ekakata yanna help onee.,shelter,synthetic
sheelter ekakata yanna help one.,shelter,synthetic
rescue help denna puluwanda?,rescue/missing,synthetic
rescue help dnna puluwanda?,rescue/missing,synthetic
rescue help dnna puluwanda?,rescue/missing,synthetic
rescue help denna puluwandha?,rescue/missing,synthetic
faamily mmbersla dennek missing.,rescue/missing,synthetic
famly membersla dennek missing.,rescue/missing,synthetic
family mmbersla dnnek missing.,rescue/missing,synthetic
famiily membersla dennek missing.,rescue/missing,synthetic
blankts tiikak one.,other,synthetic
blankts tikak one.,other,synthetic
blankets tkak one.,other,synthetic
blankets tiikak one.,other,synthetic
wter supply eka n.,food/water,synthetic
water supply eca ne.,food/water,synthetic
wather supply eka ne.,food/water,synthetic
water supply eka nee.,food/water,synthetic
water pump eka wada ne.,other,synthetic
water pump eka wadha ne.,other,synthetic
water pump eka wda ne.,other,synthetic
water pump eka wada ne.,other,synthetic
ape family members trapped wela.,rescue/missing,synthetic
ape family mmbers trapped wela.,rescue/missing,synthetic
ape family members thrapped wela.,rescue/missing,synthetic
ape famly mmbers trapped wela.,rescue/missing,synthetic
shlter support one.,shelter,synthetic
shelteer supporth one.,shelter,synthetic
shelter suppoort on.,shelter,synthetic
shelter support onee.,shelter,synthetic
safe bilding ekk one immediately.,shelter,synthetic
safe building eekak on immediately.,shelter,synthetic
safe building ecak one immediately.,shelter,synthetic
safe building ekak one immediately.,shelter,synthetic
ape family ek kenekta medical help one.,medical aid,synthetic
ape family eke kenekta medical hlp one.,medical aid,synthetic
ape family eke kenektha medical help one.,medical aid,synthetic
ape family ece kenekta medical help one.,medical aid,synthetic
evacuatin center ekatha yanna one.,shelter,synthetic
evacuation centr ekata yanna on.,shelter,synthetic
evacuation center ekat yanna onee.,shelter,synthetic
evacuation center ekata yanna on.,shelter,synthetic
kanna deyak hoyaganna ba.,food/water,synthetic
kanna deyak hoyaganna baa.,food/water,synthetic
kanna dheyak hoyaganna ba.,food/water,synthetic
knna deyak hoyagannaa ba.,food/water,synthetic
lamai godak innva apt kama parcel tkk ewnn plwnd .,food/water,synthetic
lamai godak innwa apit kama parcel tkk ewnn plwnd .,food/water,synthetic
lamai godak innwa apit kma parcel tkk ewnn plwnd .,food/water,synthetic
lamai godak innwa apit kama parkel tkk ewnn plwnd .,food/water,synthetic
me area ek safe shelther thiyenawada?,shelter,synthetic
me area eke saafe shelter thiyenawada?,shelter,synthetic
me area eke safe shelter thiyenawada?,shelter,synthetic
mee ara eke safe shelter thiyenawada?,shelter,synthetic
medical support eck one please.,medical aid,synthetic
medical support eck one please.,medical aid,synthetic
medical suupport ekk one please.,medical aid,synthetic
medical support ekk on please.,medical aid,synthetic
generaal supplies thikak one.,other,synthetic
genral supplies tikak one.,other,synthetic
geeneral suppliees tikak one.,other,synthetic
geeneral supplies thikak one.,other,synthetic
please resce karanna.,rescue/missing,synthetic
please rescue karaanna.,rescue/missing,synthetic
plase rescue karann.,rescue/missing,synthetic
please rescuee karnna.,rescue/missing,synthetic
me pattha dangerous daa?,other,synthetic
me pattha dangerous dha?,other,synthetic
mee paththa dhangerous da?,other,synthetic
me pathth dangerous da?,other,synthetic
gedara athule aaya innawa.,rescue/missing,synthetic
gedhara athuule aya innawa.,rescue/missing,synthetic
gedara aathule aya innava.,rescue/missing,synthetic
geedara atule aya innawa.,rescue/missing,synthetic
nighth eka innata place ne.,shelter,synthetic
night eka innata plce ne.,shelter,synthetic
night eka innata placee ne.,shelter,synthetic
night eka innat place ne.,shelter,synthetic
ape gedara wter ne.,food/water,synthetic
ape gedara waater ne.,food/water,synthetic
apee gedaraa water ne.,food/water,synthetic
ape gedara water n.,food/water,synthetic
rike tikaak hari ewanna.,food/water,synthetic
ricee tiikak hari ewanna.,food/water,synthetic
rice thikak hari ewanna.,food/water,synthetic
rice tiikak hari ewanna.,food/water,synthetic
flashlighth eekak one.,other,synthetic
flaashlight ekak one.,other,synthetic
flashlight ekak oone.,other,synthetic
flashlight ecak one.,other,synthetic
"ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter,synthetic
"ape gedarata watura gihin, ikmnt apiiwa beragnn enn .",shelter,synthetic
"ape gedarata wathura gihin, ikmnt apiwa beragnn enn .",shelter,synthetic
"ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter,synthetic
food supplies tikak one.,food/water,synthetic
food supplies thikak one.,food/water,synthetic
food supples tikak one.,food/water,synthetic
food supplis tikak onee.,food/water,synthetic
communicatiion centher ekak thiyenawada?,other,synthetic
communication ceenter ekak thiyenawada?,other,synthetic
communication center ekak thiyeenawada?,other,synthetic
communiction center ekak thiiyenawada?,other,synthetic
injured kenek innawa me gedar.,medical aid,synthetic
injuredh kenek innwa me gedara.,medical aid,synthetic
injured keneek innawa me gedhara.,medical aid,synthetic
injurd kenek innawa me gedra.,medical aid,synthetic
apit dawas dkak knna na.,food/water,synthetic
apiit dawas dekak kanna na.,food/water,synthetic
apit dawas dhekak kanna naa.,food/water,synthetic
apith dawas dekak kaanna na.,food/water,synthetic
ape nangi t medicine one.,medical aid,synthetic
ape nangi ta medicine one.,medical aid,synthetic
apee nangii ta medicine one.,medical aid,synthetic
ape nangi ta medicine on.,medical aid,synthetic
waturaa ganna widihak ne.,food/water,synthetic
watura ganna wdihak ne.,food/water,synthetic
waatura ganna widihak ne.,food/water,synthetic
watura ganna widihak nee.,food/water,synthetic
water bottle ecak wath ne.,food/water,synthetic
water bottle eekak wath ne.,food/water,synthetic
water bottle ekak wath n.,food/water,synthetic
water bottle ekaak wath ne.,food/water,synthetic
childh kenek hoyaganna one.,rescue/missing,synthetic
child kenek hoyaganna on.,rescue/missing,synthetic
child keneek hoyaganna one.,rescue/missing,synthetic
chiild kenek hoyaganna one.,rescue/missing,synthetic
shelter ekak open karalada?,shelter,synthetic
shelter ekak open karalada?,shelter,synthetic
shelter ecak open karalda?,shelter,synthetic
shlter ekak open karaladha?,shelter,synthetic
please medical theam ekak hoyala denna.,medical aid,synthetic
please medical tam ekak hoyala denna.,medical aid,synthetic
please medical teeam ekak hoyal denna.,medical aid,synthetic
please medical teeam ekak hoyal denna.,medical aid,synthetic
me area ekata yannaa puluwanda?,other,synthetic
mee area ekataa yanna puluwanda?,other,synthetic
me area ekata ynna puluwanda?,other,synthetic
me area ekata yannaa puluwanda?,other,synthetic
fod supplies one urgently.,food/water,synthetic
food supplies onee urgently.,food/water,synthetic
food supplies one urgently.,food/water,synthetic
food supplies one urgently.,food/water,synthetic
candles tkak one.,other,synthetic
candls tikk one.,other,synthetic
candhles tikak one.,other,synthetic
candles tikak on.,other,synthetic
foood ekak aran enn puluwanda?,food/water,synthetic
food ecak arn enna puluwanda?,food/water,synthetic
food ekk aran enna puluwandha?,food/water,synthetic
food ekak arn enna puluwandha?,food/water,synthetic
shelter ekatha family eka aran yanna.,shelter,synthetic
sheltr ekta family eka aran yanna.,shelter,synthetic
shelther ekta family eka aran yanna.,shelter,synthetic
shelter ekata famiily eka aran yanna.,shelter,synthetic
wessa nisa gdara innatha ba.,shelter,synthetic
wessa nisa gedaraa innata ba.,shelter,synthetic
wessa nsa gedaara innata ba.,shelter,synthetic
wessa nisa gdara innata ba.,shelter,synthetic
baby food one urgent.,food/water,synthetic
baaby food one urgnt.,food/water,synthetic
baby food one urgent.,food/water,synthetic
baby foood one urgeent.,food/water,synthetic
saf drinking wter one.,food/water,synthetic
safe driinking water one.,food/water,synthetic
sfe drinking water one.,food/water,synthetic
safe drinking wather one.,food/water,synthetic
medical emeergency ekak.,medical aid,synthetic
medical emrgency ecak.,medical aid,synthetic
medhical eemergency ekak.,medical aid,synthetic
medical emergeency ecak.,medical aid,synthetic
informtion ekak hoyaganna one.,other,synthetic
information ekak hoyaganna on.,other,synthetic
information ekak hoyaganna onee.,other,synthetic
information ekak hoyaganna one.,other,synthetic
kids la huungry inn.,food/water,synthetic
kidhs la hungry inne.,food/water,synthetic
kids laa hungry inne.,food/water,synthetic
kids la huungry inne.,food/water,synthetic
api building roof eke inn.,rescue/missing,synthetic
api building roof eke inne.,rescue/missing,synthetic
apii building roof eke inne.,rescue/missing,synthetic
api building roof ek inne.,rescue/missing,synthetic
ap food nathiwa innee.,food/water,synthetic
aapi foodh nathiwa inne.,food/water,synthetic
api food nathiiwa inne.,food/water,synthetic
apii food natiwa inne.,food/water,synthetic
tree ekaak roaad eka uda watila.,other,synthetic
tree ekak roadh eka uda watila.,other,synthetic
treee ekak road eka uda watila.,other,synthetic
tree ekak road ekaa udha watila.,other,synthetic
mobile signal hoyaganna ba.,other,synthetic
mobile signl hoyaganna ba.,other,synthetic
mobile signal hoyaganna ba.,other,synthetic
mobile signl hoyaganna b.,other,synthetic
shelter ekak hoyaganna help on.,shelter,synthetic
shelter ekak hoyaganna heelp one.,shelter,synthetic
shelter ekak hoyaganna hlp on.,shelter,synthetic
shelter ekak hoyaganna help one.,shelter,synthetic
"lamai innaawa, safe plaace one.",shelter,synthetic
"lamai innaw, safe place on.",shelter,synthetic
"lamai innava, safe place oone.",shelter,synthetic
"laamai innawa, safe place one.",shelter,synthetic
family ekataa safe plaace one.,shelter,synthetic
family ekata safe place one.,shelter,synthetic
famly ekata safe place one.,shelter,synthetic
family ekata safe place onee.,shelter,synthetic
ape seeya missing.,rescue/missing,synthetic
aape seeya missing.,rescue/missing,synthetic
ape seeeya missing.,rescue/missing,synthetic
ape seeeya missing.,rescue/missing,synthetic
lamaya school idala awe ne.,rescue/missing,synthetic
lamaya school idala aw ne.,rescue/missing,synthetic
lamaya schol idala awe n.,rescue/missing,synthetic
lamaya school idala aw ne.,rescue/missing,synthetic
apii upacara balaporoththu wenawa.,rescue/missing,synthetic
api upakara balaporoththu wenawa.,rescue/missing,synthetic
api upakara baalaporoththu venawa.,rescue/missing,synthetic
api uupakara balaporoththu wenawa.,rescue/missing,synthetic
gedara roof eca damage wela.,shelter,synthetic
gedara roof eka damage wela.,shelter,synthetic
gedhara roof eka damage wela.,shelter,synthetic
gedaara roof eka damage wela.,shelter,synthetic
rescue veehicle ekak one.,rescue/missing,synthetic
rescue vehiclee eekak one.,rescue/missing,synthetic
rescue vehicle ekaak one.,rescue/missing,synthetic
reescue vehicle ekak one.,rescue/missing,synthetic
ape family eke sicc aya innawa.,medical aid,synthetic
ape famiily eke sick ay innawa.,medical aid,synthetic
ape family ekee siick aya innawa.,medical aid,synthetic
ape faamily ekee sick aya innawa.,medical aid,synthetic
ape area ekaata dry rations one.,food/water,synthetic
ape area ekata dry rations oone.,food/water,synthetic
apee area ekata dry rations oone.,food/water,synthetic
ape area ekata dry raations on.,food/water,synthetic
missing childh kenek hoyanawa.,rescue/missing,synthetic
missing child cenek hoyanawa.,rescue/missing,synthetic
missing child cenek hoyanawa.,rescue/missing,synthetic
missing chld kenek hoyanawa.,rescue/missing,synthetic
ape gedara food na.,food/water,synthetic
aape gedara food na.,food/water,synthetic
ape geedara fod na.,food/water,synthetic
ap gedaara food na.,food/water,synthetic
thuwala walatha bandage one.,medical aid,synthetic
tuwala walata bandage one.,medical aid,synthetic
thuwala walata bandge one.,medical aid,synthetic
thuwala walata bandage on.,medical aid,synthetic
floded area eke stuck wela.,rescue/missing,synthetic
floodhed area eke stuck wela.,rescue/missing,synthetic
flooded area eke stuck wla.,rescue/missing,synthetic
flooded area ek stuck wela.,rescue/missing,synthetic
safe plaace ekak hoyala denn.,shelter,synthetic
safe place ekak hoyala denna.,shelter,synthetic
safe place ekaak hoyalaa denna.,shelter,synthetic
safe place ekak hoyala dennaa.,shelter,synthetic
"old people innawa, sfe place one.",shelter,synthetic
"old people innawa, safe place one.",shelter,synthetic
"old people innawa, safee place one.",shelter,synthetic
"old people innawa, safe plake one.",shelter,synthetic
ape putha hoyaganna one.,rescue/missing,synthetic
ape putha hoyganna one.,rescue/missing,synthetic
ape puta hoyaganna one.,rescue/missing,synthetic
ape puutha hyaganna one.,rescue/missing,synthetic
medical team ekak ewnna puluwanda?,medical aid,synthetic
medical team ecak ewann puluwanda?,medical aid,synthetic
medical team ekk ewanna puluwand?,medical aid,synthetic
medhical team ekak ewanna puuluwanda?,medical aid,synthetic
sheltr ekak thiyenawanam kiiyanna.,shelter,synthetic
shelter ekak thiyenawanam kiyaanna.,shelter,synthetic
shelther ekak thiyenawanam kiyanna.,shelter,synthetic
shlter ekak thiyenawanam kyanna.,shelter,synthetic
thuwala una keenek innaw.,medical aid,synthetic
thuwala una kenk innawa.,medical aid,synthetic
thuwala unaa kenek innava.,medical aid,synthetic
thuwala un kenek innawa.,medical aid,synthetic
gs cylinder eca na.,other,synthetic
gas cylinder eeka na.,other,synthetic
gas cylinder eka n.,other,synthetic
gas cylindeer eka na.,other,synthetic
missng person keneek hoyanawa.,rescue/missing,synthetic
miissing person kenek hoyanwa.,rescue/missing,synthetic
missing person kenek hoyanawa.,rescue/missing,synthetic
missing peerson cenek hoyanawa.,rescue/missing,synthetic
ape brother missing wla.,rescue/missing,synthetic
ape brother missing wla.,rescue/missing,synthetic
ape brother mssing wela.,rescue/missing,synthetic
ape brother missing welaa.,rescue/missing,synthetic
electricity supply eka nati wela.,other,synthetic
electricity supply eka nati weela.,other,synthetic
eleectricity supply eka nathi vela.,other,synthetic
electricity supply eeka nathi wela.,other,synthetic
apee nangi hoyaganna ba.,rescue/missing,synthetic
ape nngi hoyaganna b.,rescue/missing,synthetic
ape nangi hoyaganna ba.,rescue/missing,synthetic
ape nangii hyaganna ba.,rescue/missing,synthetic
tree tika ain caranna one.,other,synthetic
tree tik ain karanna one.,other,synthetic
tree tika ain karanna oone.,other,synthetic
tree tika ain karanna one.,other,synthetic
battery charge karaganna b.,other,synthetic
battry charge karaganna b.,other,synthetic
bathtery charge karaganna ba.,other,synthetic
battery kharge karaganna ba.,other,synthetic
baaby ta medicinee one.,medical aid,synthetic
baby ta mediciine one.,medical aid,synthetic
baby ta medicine on.,medical aid,synthetic
baaby t medicine one.,medical aid,synthetic
rooad clearance help onee.,other,synthetic
road clearance help one.,other,synthetic
rod clearance help one.,other,synthetic
roadh clearance help on.,other,synthetic
gedaraa athule 5 denek innawa.,rescue/missing,synthetic
gedara aathule 5 denek innawa.,rescue/missing,synthetic
gedara athule 5 denek innawa.,rescue/missing,synthetic
gedara athule 5 denek innawa.,rescue/missing,synthetic
"ap stuck welaa, help karanna.",rescue/missing,synthetic
"api stuck weela, heelp karanna.",rescue/missing,synthetic
"aapi stuck wela, help karanna.",rescue/missing,synthetic
"ap stuck wela, help karanna.",rescue/missing,synthetic
